,title,director,quote,link
124,真爱至上,理查德·柯蒂斯,爱，是个动词。,https://movie.douban.com/subject/1292401/
125,雨人,巴瑞·莱文森,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
126,贫民窟的百万富翁,丹尼·鲍尔,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
127,杀人回忆,奉俊昊,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
128,东邪西毒,王家卫,电影诗。,https://movie.douban.com/subject/1292328/
129,记忆碎片,克里斯托弗·诺兰,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
130,虎口脱险,杰拉尔·乌里,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
131,疯狂原始人,科克·德·米科,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
132,怪兽电力公司,彼特·道格特,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
133,卢旺达饭店,特瑞·乔治,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
134,喜宴,李安,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
135,黑天鹅,达伦·阿罗诺夫斯基,黑暗之美。,https://movie.douban.com/subject/1978709/
136,小森林 夏秋篇,森淳一,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
137,喜剧之王,周星驰,我是一个演员。,https://movie.douban.com/subject/1302425/
138,魂断蓝桥,Mervyn,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
139,穿越时空的少女,细田守,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
140,猜火车,丹尼·博伊尔,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
141,英雄本色,吴宇森,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
142,恋恋笔记本,尼克·卡索维茨,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
143,雨中曲,Stanley,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
144,傲慢与偏见,乔·怀特,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
145,教父3,弗朗西斯·福特·科波拉,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
146,完美的世界,克林特·伊斯特伍德,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
147,纵横四海,吴宇森,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
148,萤火之森,大森贵弘,触不到的恋人。,https://movie.douban.com/subject/5989818/
149,玩具总动员3,李·昂克里奇,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
150,二十二,郭柯,########,https://movie.douban.com/subject/26430107/
151,7号房的礼物,李焕庆,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
152,哈利·波特与死亡圣器(下),大卫·叶茨,10年的完美句点。,https://movie.douban.com/subject/3011235/
153,人工智能,史蒂文·斯皮尔伯格,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
154,我是山姆,杰茜·尼尔森,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
155,花样年华,王家卫,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
156,浪潮,丹尼斯·甘塞尔,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
157,香水,汤姆·提克威,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
158,冰川时代,卡洛斯·沙尔丹哈,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
159,追随,克里斯托弗·诺兰,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
160,朗读者,史蒂芬·戴德利,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
161,撞车,保罗·哈吉斯,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
162,荒蛮故事,达米安·斯兹弗隆,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
163,海边的曼彻斯特,肯尼斯·罗纳根,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
164,一次别离,阿斯哈·法哈蒂,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
165,罗生门,黑泽明,人生的N种可能性。,https://movie.douban.com/subject/1291879/
166,时空恋旅人,理查德·柯蒂斯,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
167,心迷宫,忻钰坤,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
168,唐伯虎点秋香,李力持,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
169,超能陆战队,唐·霍尔,Balalala~~~,https://movie.douban.com/subject/11026735/
170,小森林 冬春篇,森淳一,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
171,战争之王,安德鲁·尼科尔,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
172,梦之安魂曲,达伦·阿伦诺夫斯基,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
173,可可西里,陆川,坚硬的信仰。,https://movie.douban.com/subject/1308857/
174,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,诺兰就是保证。,https://movie.douban.com/subject/3395373/
175,碧海蓝天,Luc,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,https://movie.douban.com/subject/1300960/
176,地球上的星星,阿米尔·汗,天使保护事件始末。,https://movie.douban.com/subject/2363506/
177,秒速5厘米,新海诚,青春就是放弃和怀念。,https://movie.douban.com/subject/2043546/
178,未麻的部屋,今敏,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
179,恐怖游轮,克里斯托弗·史密斯,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
180,谍影重重2,保罗·格林格拉斯,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
181,爆裂鼓手,达米安·沙泽勒,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
182,谍影重重,道格·里曼,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
183,海盗电台,理查德·柯蒂斯,生命不止，摇滚不死。,https://movie.douban.com/subject/3007773/
184,阿飞正传,王家卫,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
185,达拉斯买家俱乐部,让-马克·瓦雷,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
186,牯岭街少年杀人事件,杨德昌,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
187,惊魂记,Alfred,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
188,魔女宅急便,宫崎骏,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
189,再次出发之纽约遇见你,约翰·卡尼,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
190,绿里奇迹,Frank,天使暂时离开。,https://movie.douban.com/subject/1300374/
191,迁徙的鸟,雅克·贝汉,最美的飞翔。,https://movie.douban.com/subject/1292281/
192,被解救的姜戈,昆汀·塔伦蒂诺,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
193,东京物语,小津安二郎,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
194,勇闯夺命岛,迈克尔·贝,类型片的极致。 ,https://movie.douban.com/subject/1292728/
195,荒野生存,西恩·潘,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
196,末路狂花,雷德利·斯科特,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
197,卡萨布兰卡,Michael,与同名歌曲无关。,https://movie.douban.com/subject/1296753/
198,青蛇,徐克,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
199,终结者2：审判日,詹姆斯·卡梅隆,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
200,忠犬八公物语,Seijir?,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
201,燕尾蝶,岩井俊二,现实与童话交相辉映的旅程。,https://movie.douban.com/subject/1307793/
202,这个男人来自地球,理查德·沙因克曼,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
203,哪吒闹海,严定宪,想你时你在闹海。,https://movie.douban.com/subject/1307315/
204,变脸,吴宇森,当发哥的风衣、墨镜出现在了凯奇身上??,https://movie.douban.com/subject/1292659/
205,英国病人,安东尼·明格拉,"In memory, love lives forever...",https://movie.douban.com/subject/1291853/
206,源代码,邓肯·琼斯,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
207,E.T. 外星人,Steven,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
208,新龙门客栈,李惠民,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
209,黄金三镖客,Sergio,最棒的西部片。,https://movie.douban.com/subject/1401118/
210,发条橙,Stanley,我完全康复了。,https://movie.douban.com/subject/1292233/
211,黑客帝国3：矩阵革命,Andy,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
212,叫我第一名,彼得·维纳,乐观比一切都有力量。,https://movie.douban.com/subject/4798888/
213,美国丽人,萨姆·门德斯,每个人的内心都是深不可测的大海。 ,https://movie.douban.com/subject/1292062/
214,城市之光,Charles,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
215,穆赫兰道,大卫·林奇,大卫·林奇的梦境迷宫。,https://movie.douban.com/subject/1292217/
216,非常嫌疑犯,布莱恩·辛格,我不信仰上帝，但我敬畏上帝。,https://movie.douban.com/subject/1292214/
217,无耻混蛋,Quentin,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
218,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
219,勇士,加文·欧康诺,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
220,上帝也疯狂,Jamie,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
221,模仿游戏,莫腾·泰杜姆,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
222,蓝色大门,易智言,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
223,爱·回家,李廷香,献给所有外婆的电影。,https://movie.douban.com/subject/1299361/
224,无敌破坏王,瑞奇·莫尔,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
225,大卫·戈尔的一生,Alan,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
226,血钻,Edward,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
227,爱在午夜降临前,理查德·林克莱特,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
228,曾经,约翰·卡尼,有些幸福无关爱情。,https://movie.douban.com/subject/2053515/
229,国王的演讲,汤姆·霍珀,皇上无话儿。,https://movie.douban.com/subject/4023638/
230,麦兜故事,袁建滔,麦兜是一只很哲学的猪。 ,https://movie.douban.com/subject/1302476/
231,枪火,杜琪峰,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
232,暖暖内含光,米歇尔·冈瑞,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,https://movie.douban.com/subject/1308777/
233,疯狂的石头,宁浩,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
234,遗愿清单,罗伯·莱纳,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
235,蝴蝶,菲利普·穆伊尔,我们长途跋涉寻找的东西，有可能一直就在身边。 ,https://movie.douban.com/subject/1292056/
236,千钧一发,安德鲁·尼科尔,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
237,巴黎淘气帮,Laurent,四百击的反面。,https://movie.douban.com/subject/3157605/
238,荒岛余生,罗伯特·泽米吉斯,一个人的独角戏。,https://movie.douban.com/subject/1298653/
239,与狼共舞,Kevin,充满诗意与情怀的史诗作品。 ,https://movie.douban.com/subject/1293764/
240,房间,伦尼·阿伯拉罕森,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
241,偷拐抢骗,盖·里奇,典型盖·里奇式的英国黑色幽默黑帮片。,https://movie.douban.com/subject/1301171/
242,月球,邓肯·琼斯,2009媲美《第九区》的又一部科幻神作。,https://movie.douban.com/subject/3073124/
243,头脑特工队,彼特·道格特,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
244,我爱你,秋昌民,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
245,夜访吸血鬼,尼尔·乔丹,弥漫淡淡血腥气的优雅。,https://movie.douban.com/subject/1299327/
246,寿司之神,大卫·贾柏,仪式主义的狂欢，偏执狂的完胜。,https://movie.douban.com/subject/6146955/
247,彗星来的那一夜,詹姆斯·沃德·布柯特,小成本大魅力。,https://movie.douban.com/subject/25807345/
248,廊桥遗梦,克林特·伊斯特伍德,这样确切的爱，一生只有一次。,https://movie.douban.com/subject/1293929/
249,爱在暹罗,楚克?萨克瑞科,把爱放在心底，有爱就有希望。,https://movie.douban.com/subject/2365260/
250,中央车站,Walter,心灵救赎。,https://movie.douban.com/subject/1292218/
